Cylindrospermum licheniforme UTEX B 2014	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Cylindrospermum;Cylindrospermum licheniforme;Cylindrospermum licheniforme UTEX B 2014		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Cylindrospermum
Microcystis aeruginosa	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis aeruginosa		Cyanobacteriota	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis
Moorena bouillonii PNG	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Coleofasciculales;Coleofasciculaceae;Moorena;Moorena bouillonii;Moorena bouillonii PNG		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena
Nostoc sp. CCAP 1453/38	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc;Nostoc sp. CCAP 1453/38		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc
Synechocystis salina LEGE 06155	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Synechococcales;Merismopediaceae;Synechocystis;Synechocystis salina;Synechocystis salina LEGE 06155		Cyanobacteriota	Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis
