Aetokthonos hydrillicola	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Hapalosiphonaceae;Aetokthonos;Aetokthonos hydrillicola		Cyanobacteriota	Cyanophyceae	Nostocales	Hapalosiphonaceae	Aetokthonos
Leptolyngbya sp. PCC 7375	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Leptolyngbyales;Leptolyngbyaceae;Leptolyngbya group;Leptolyngbya;unclassified Leptolyngbya;Leptolyngbya sp. PCC 7375		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae	Leptolyngbya
Moorena sp. SIOASIH	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Coleofasciculales;Coleofasciculaceae;Moorena;unclassified Moorena;Moorena sp. SIOASIH		Cyanobacteriota	Cyanophyceae	Coleofasciculales	Coleofasciculaceae	Moorena
Pseudoalteromonas phenolica	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;Pseudoalteromonas phenolica		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
