Ascophyllum nodosum	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;PX clade;Phaeophyceae;Fucales;Fucaceae;Ascophyllum;Ascophyllum nodosum			Phaeophyceae	Fucales	Fucaceae	Ascophyllum
Corallina officinalis	cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Corallinophycidae;Corallinales;Corallinaceae;Corallinoideae;Corallina;Corallina officinalis		Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Corallina
Corallina pilulifera	cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Corallinophycidae;Corallinales;Corallinaceae;Corallinoideae;Corallina;Corallina pilulifera		Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Corallina
