taxid	kingdom	phylum	class	order	family	genus	species
84139		Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia sp. (in: high G+C Gram-positive bacteria)
84480		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis thermoflava
84566		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae		
84567		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	
84632		Actinomycetota	Actinomycetes	Kineosporiales	Kineosporiaceae	Kineosporia	Kineosporia succinea
848		Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
84992		Actinomycetota	Acidimicrobiia				
84993		Actinomycetota	Acidimicrobiia	Acidimicrobiales			
84994		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae		
84997		Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae		
85006		Actinomycetota	Actinomycetes	Micrococcales			
85007		Actinomycetota	Actinomycetes	Mycobacteriales			
85009		Actinomycetota	Actinomycetes	Propionibacteriales			
85010		Actinomycetota	Actinomycetes	Pseudonocardiales			
85012		Actinomycetota	Actinomycetes	Streptosporangiales			
85017		Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae		
85021		Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae		
85023		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae		
85025		Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae		
85030		Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae		
85044		Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Williamsia	Williamsia muralis
85075		Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Halochromatium	Halochromatium glycolicum
85108		Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Halorhodospira	
85413		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Alloboseaceae	Allobosea	
