taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
2512219		Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella	Kribbella sp. VKM Ac-2568	1
2518930		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Tateyamaria	Tateyamaria armeniaca	1
2520506		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma sp. KCTC 42546	1
2527963		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Stieleria	Stieleria magnilauensis	1
2527974		Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Tautonia	Tautonia plasticadhaerens	1
2528003		Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	Bythopirellula	Bythopirellula polymerisocia	1
2528011		Planctomycetota	Planctomycetia			Engelhardtia	Engelhardtia mirabilis	1
2528014		Planctomycetota					Planctomycetes bacterium Poly21	1
2528023		Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Urbifossiella	Urbifossiella limnaea	1
2528274		Candidatus Tectimicrobiota					Candidatus Tectimicrobiota bacterium	3
2529384		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp. RKSG952	2
2530373		Actinomycetota	Actinomycetes	Jiangellales	Jiangellaceae	Jiangella	Jiangella aurantiaca	2
253839		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. C	1
2545255		Myxococcota		Nannocystales	Nannocystaceae		Nannocystaceae bacterium	1
255475		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae			1
2558362		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Jiella	Jiella endophytica	1
2560055		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium niftali	1
2562117		Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae		Chloroflexaceae bacterium	4
2562311		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Roseomonas	Roseomonas sp. AR75	1
2562685		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Pacificoceanicola	Pacificoceanicola onchidii	1
