taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
2741070		Myxococcota	Myxococcia	Myxococcales	Pendulisporaceae	Pendulispora	Pendulispora rubella	1
2749911		Bacillariophyta	Thalassiosirophyceae	Eupodiscales	Odontellaceae	Pseudictyota	Pseudictyota dubia	2
2768738		Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Zooshikellaceae	Spartinivicinus		1
2789857		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CBW1107	2
27933		Porifera	Calcarea	Leucosolenida	Sycettidae	Sycon	Sycon ciliatum	1
2820187		Ctenophora	Tentaculata	Lobata	Bolinopsidae	Bolinopsis	Bolinopsis microptera	1
28211		Pseudomonadota	Alphaproteobacteria					1
2840799		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Candidatus Faeciplasma	Candidatus Faeciplasma gallinarum	1
2890311		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			1
29		Myxococcota	Myxococcia	Myxococcales				1
29073		Chordata	Mammalia	Carnivora	Ursidae	Ursus	Ursus maritimus	1
290746		Nematoda	Chromadorea	Rhabditida	Cephalobidae	Acrobeloides	Acrobeloides nanus	2
29497		Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio splendidus	1
2951			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium microadriaticum	1
2952			Dinophyceae	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium pilosum	1
2975358		Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter sp. GD03644	1
3028117		Cyanobacteriota	Cyanophyceae					1
3041496		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas halotolerans	1
312278		Bacteroidota	Cytophagia	Cytophagales	Leadbetterellaceae	Emticicia		1
33208								1
34507		Nematoda	Chromadorea	Rhabditida	Steinernematidae	Steinernema		1
34632		Arthropoda	Arachnida	Ixodida	Ixodidae	Rhipicephalus	Rhipicephalus sanguineus	1
352152		Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	uncultured Acidaminococcus sp.	1
36881		Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Cymbomonas	Cymbomonas tetramitiformis	1
376150		Myxococcota	Myxococcia	Myxococcales		Paraliomyxa	Paraliomyxa miuraensis	1
3848		Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	Glycine soja	1
391625		Myxococcota		Nannocystales	Nannocystaceae	Plesiocystis	Plesiocystis pacifica	1
39493		Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium tarantellae	1
39769		Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Methylococcus sp.	1
400682		Porifera	Demospongiae	Haplosclerida	Niphatidae	Amphimedon	Amphimedon queenslandica	1
408580		Bacillota	Bacilli	Caryophanales	Bacillaceae	Bacillus	Bacillus coahuilensis	1
43658		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas rubra	1
44578		Rotifera	Eurotatoria					1
4555		Streptophyta	Magnoliopsida	Poales	Poaceae	Setaria	Setaria italica	1
459		Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella sp.	1
45954		Mollusca	Bivalvia	Myida	Dreissenidae	Dreissena	Dreissena polymorpha	1
47308		Chordata	Actinopteri	Gobiiformes	Gobiidae	Neogobius	Neogobius melanostomus	1
47600		Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	Gossypium anomalum	1
48461		Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales				1
5068		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus tubingensis	1
53246		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas		1
53475		Nematoda	Chromadorea	Rhabditida	Rhabditidae	Mesorhabditis		1
54125		Nematoda	Chromadorea	Rhabditida	Neodiplogasteridae	Pristionchus		1
54126		Nematoda	Chromadorea	Rhabditida	Neodiplogasteridae	Pristionchus	Pristionchus pacificus	1
572511		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Blautia		1
57723		Acidobacteriota						1
591936		Chordata	Mammalia	Primates	Cercopithecidae	Piliocolobus	Piliocolobus tephrosceles	1
6236		Nematoda	Chromadorea	Rhabditida				4
6238		Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis briggsae	1
