taxid	kingdom	phylum	class	order	family	genus	species
1734446		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Paractinoplanes	Paractinoplanes maris
1736316		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax	Pseudorhodoferax sp. Leaf267
1736381		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. Leaf454
1736464		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Roseateles	Pelomonas sp. Root1444
1736549		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter	Lysobacter sp. Root494
1737490		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Agarilytica	Agarilytica rhodophyticola
1737571		Bacillota	Bacilli	Caryophanales	Bacillaceae	Niallia	Niallia oryzisoli
174711		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	uncultured Polaribacter sp.
1752188		Actinomycetota					
1752718		Candidatus Daviesiibacteriota					
1752731		Candidatus Magasanikiibacteriota					
175632		Methanobacteriota	Halobacteria	Halobacteriales	Halalkalicoccaceae	Halalkalicoccus	Halalkalicoccus tibetensis
1760		Actinomycetota	Actinomycetes				
1763828		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Hankyongella	Hankyongella ginsenosidimutans
1764569		Cyanobacteriota	Cyanophyceae	Acaryochloridales	Acaryochloridaceae	Acaryochloris	Acaryochloris thomasi
1764581		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Tepidamorphaceae	Microbaculum	Microbaculum marinum
1769250		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Roseateles	Roseateles oligotrophus
1769422		Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Galliscardovia	Galliscardovia ingluviei
1770526		Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter crusticola
1772194		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia pinisoli
1775170		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Salipiger	Salipiger pallidus
1775411		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae		
1775474		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax guangxiensis
1775688		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Jiella	
1776165		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia eburnea
1779134			Deltaproteobacteria	Bradymonadales			
1783257							
1783270							
1783272							
1783273							
1784714		Bacteroidota	Cytophagia	Cytophagales	Leadbetterellaceae	Arcticibacterium	Arcticibacterium luteifluviistationis
1785913		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinorhabdospora	Actinorhabdospora filicis
1792502		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Puia	Puia dinghuensis
1794811							
1797238		Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter sp. RBG_16_69_14
1797403		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales			Bdellovibrionales bacterium RIFOXYD1_FULL_53_11
1797562		Pseudomonadota	Betaproteobacteria	Burkholderiales			Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36
1797662		Chloroflexota					Chloroflexi bacterium RBG_16_70_13
1797919		Elusimicrobiota					
1797924		Elusimicrobiota					Elusimicrobia bacterium GWA2_62_23
1797961		Elusimicrobiota					Elusimicrobia bacterium RIFOXYA2_FULL_53_38
1798227		Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus sp. DSM 46786
1798374		Candidatus Gottesmaniibacteriota					Candidatus Gottesmanbacteria bacterium RBG_16_52_11
1801959		Planctomycetota					Planctomycetes bacterium GWF2_50_10
1802408		Candidatus Uhriibacteriota					Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_48_18
1802538		Candidatus Woeseibacteriota					Candidatus Woesebacteria bacterium RIFOXYB1_FULL_38_16
1803446		Acidobacteriota					Acidobacteria bacterium 13_1_40CM_2_68_5
1803459		Acidobacteriota					Acidobacteria bacterium 13_1_40CM_65_14
1803489		Actinomycetota					Actinobacteria bacterium 13_1_40CM_4_65_12
1803492		Actinomycetota					Actinobacteria bacterium 13_2_20CM_2_66_6
1805084		Chloroflexota					Chloroflexi bacterium 13_1_40CM_68_21
1805109			Deltaproteobacteria				Deltaproteobacteria bacterium 13_1_20CM_2_69_21
1805139		Methanobacteriota					Euryarchaeota archaeon 13_1_20CM_4_64_14
1805207		Gemmatimonadota					Gemmatimonadetes bacterium 13_2_20CM_70_9
1805408		Verrucomicrobiota					Verrucomicrobia bacterium 13_1_20CM_4_54_11
1813816		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Leisingera	Leisingera sp. F5
1813871		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Panacibacter	Panacibacter ginsenosidivorans
1814290		Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus wardiae
1815559		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio fontiphilus
1817		Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	
