taxid	kingdom	phylum	class	order	family	genus	species
1093897		Ascomycota	Sordariomycetes	Cephalothecales	Cephalothecaceae	Phialemonium	Phialemonium atrogriseum
1093900		Ascomycota	Sordariomycetes	Thyridiales	Thyridiaceae	Thyridium	Thyridium curvatum
1095194		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum karsti
1095465		Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae	Bondarzewia	Bondarzewia mesenterica
1095629		Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria amethystina
1095630		Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha bicolor
109634		Basidiomycota	Agaricomycetes	Agaricales	Galerinaceae	Gymnopilus	Gymnopilus junonius
109636		Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Pholiota	Pholiota conissans
1104152		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea lozoyensis
1105319		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Conoideocrella	Conoideocrella luteorostrata
110564		Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	
110618		Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
111012		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Lecanosticta	Lecanosticta acicola
1111077		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	Claviceps purpurea
1111111		Ascomycota	Dothideomycetes	Venturiales			
1111947		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes cubensis
111463		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	Hirsutella rhossiliensis
1116229		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea lozoyensis
112415		Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Letharia	
112416		Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Letharia	Letharia columbiana
112498		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	Ramularia collo-cygni
1126212		Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	Macrophomina phaseolina
1126955		Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascus	Corynascus novoguineensis
1131492		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae		
1131652		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces proteolyticus
113226		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora musae
1132637		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium atrosanguineum
1132856		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	
113614		Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Parathielavia	Parathielavia hyrcaniae
1137138		Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus ostreatus
1137211		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luchuensis
1141098		Ascomycota	Sordariomycetes	Amphisphaeriales	Pseudomassariaceae	Pseudomassariella	Pseudomassariella vexata
114155		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Dichomitus	Dichomitus squalens
1143193		Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia oryzae
1143690		Chordata	Actinopteri	Cyprinodontiformes	Nothobranchiidae	Nothobranchius	Nothobranchius korthausae
114810		Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria arbuscula
1149755		Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha variabilis
1150837		Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella exigua
1157608		Ascomycota	Sordariomycetes	Sordariales		Madurella	Madurella fahalii
