1	30
1004301	1
1005039	1
102232	1
1027361	1
102897	1
1030	1
1032	1
1035614	1
103690	1
103733	1
103837	1
104099	1
1041	1
1042315	1
1042316	1
1047168	1
105231	2
1054202	1
1068904	1
107	1
1070431	1
1070528	6
1073253	1
1076125	1
1076179	1
1079859	4
108015	2
1082276	1
1084524	1
1085028	2
1085029	1
109265	1
1093141	2
1095	1
109615	1
109671	1
110093	1
110321	2
1107	1
1117	5
1118279	1
1121388	1
1123062	1
1125	1
1126	2
1127	1
1128664	1
1131492	1
1132442	1
1134404	1
113570	1
1137095	1
114050	1
1141887	1
1144477	2
1144680	1
114847	3
1152	1
1157962	4
1158056	1
1161	6
116188	1
1162	1
1169474	3
1169539	1
1169540	1
1169913	1
117157	1
1173263	1
1173614	1
1176	1
1177	3
117747	2
1178778	1
1179773	1
118163	1
120398	5
1207057	1
1210524	2
121088	8
1211706	1
121292	2
1214787	1
1216062	1
121616	1
121845	1
1220491	1
1223317	1
122368	1
1224	39
1225341	1
1227546	2
1227945	1
1234261	1
1235557	1
1236	13
1238182	1
1239	9
1257021	1
1257118	2
1261403	1
1262583	1
1269031	1
1274662	1
127549	2
1276538	1
1282361	1
1287182	1
1298	6
1301283	2
1306542	1
131567	16
1325087	1
1328930	1
1329200	2
133	1
1343891	1
134623	1
1350429	1
1354889	1
13687	2
136992	1
13708	1
13786	1
1379698	1
1380357	3
1380388	1
1385	9
1385715	1
1389005	1
1391654	1
1392394	1
1397368	1
139808	1
1400133	1
1400979	1
1401161	1
1404	1
1406	1
1410327	1
1411316	2
1411620	1
1412871	3
1412872	1
1414722	1
1415542	1
1416877	1
142182	10
1429439	1
1434010	1
1434029	1
1434104	1
1437183	1
1437523	1
1439726	1
1442557	1
1449351	1
145388	1
1454001	1
1471	1
1479485	1
1481960	1
1482074	1
1485	1
1485229	1
1486917	1
1486929	2
1488395	1
1490	1
1496	1
149698	1
1497501	1
1499314	2
1500538	1
1501239	1
1502	2
1503750	1
1506	1
1507870	1
1514140	2
1518501	2
1519616	1
1520825	1
152260	1
1522758	1
1524259	1
1526573	1
1532905	1
1536901	1
154116	1
154117	2
1547922	1
1549748	1
1549810	1
1553903	1
155619	1
155925	1
1561204	1
1562566	1
156993	1
157471	1
1577895	1
1578925	1
1586233	1
159749	3
1598	1
1601948	2
1605367	1
1608404	1
1614636	1
161492	1
1617420	1
1618204	1
1628268	1
1629072	1
1631240	1
1640515	1
1641715	1
1644061	1
1645740	2
165188	1
1656887	1
165696	2
166011	1
166793	1
1670830	1
1672391	1
167375	1
1679076	2
1679460	1
1683161	1
1685382	1
168694	1
1690039	1
1706369	1
1706372	1
1706441	1
1708715	1
1716141	1
172088	1
172827	1
1734446	2
1736316	2
1736381	1
1736464	1
1736549	1
1737490	1
1737571	1
174711	1
1752188	1
1752718	1
1752731	1
175632	2
1760	66
1763828	4
1764569	1
1764581	1
1769250	1
1769422	1
1770526	1
1772194	1
1775170	2
1775411	1
1775474	1
1775688	1
1776165	1
1779134	1
1783257	3
1783270	5
1783272	28
1783273	1
1784714	1
1785913	1
1792502	1
1794811	2
1797238	1
1797403	1
1797562	1
1797662	1
1797919	3
1797924	1
1797961	1
1798227	1
