taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1869181		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga sp.	2
1869182		Actinomycetota	Actinomycetes	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella sp.	2
1869185		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Taibaiella	Taibaiella sp.	1
1869212		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae		Chitinophagaceae bacterium	16
1869227							bacterium	59
1869241		Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Nostoc	Nostoc sp. CENA543	1
1869338		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Dyella	Dyella sp.	1
1869339		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas sp.	2
1870902		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leifsonia	Leifsonia sp.	1
1871037		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		Flavobacteriaceae bacterium	9
1871042		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Mycetocola	Mycetocola sp.	1
1871043		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp.	1
1871047		Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp.	1
1871048		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	Devosia sp.	2
1871053		Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium sp.	6
1871054		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp.	1
1871066		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp.	5
1871068		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae		Phyllobacteriaceae bacterium	1
1871071		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae		Comamonadaceae bacterium	1
1871086		Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp.	13
1871322		Chlamydiota	Chlamydiia	Chlamydiales			Chlamydiales bacterium SCGC AB-751-O23	2
187145		Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	Caldithrix abyssi	3
1872084		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Nitratireductor	Nitratireductor sp.	1
1872109		Thermoproteota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus sp.	1
1872112		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium sp.	1
1872118		Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp.	1
1872125		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Actibacterium	Actibacterium sp.	1
